,G1,SP2_1,SP2_2,SP2_3,SP2_4,SP2_5,SP2_6,R1,SP1_1,SP1_2,SP1_3,SP1_4,SP1_5,SP1_6,NC,Time
80,29426.143639231697,22743.16057077251,18762.959866220735,18687.751752284625,17430.054317437494,17855.30877573131,18372.560717610224,4290.180032733224,12169.650439419373,13218.10387065164,13211.384999040858,11920.674138223805,11769.164835164835,12855.673427423124,157.69230769230768,810
81,29405.713809761786,22463.017697500458,18630.790665273424,18588.00991661032,17296.988244783697,17778.851073920152,18208.043456342002,4266.0295868326,12089.065723548481,13182.174901536948,13096.959199935109,11942.249625739007,11671.679000682307,12763.008729694879,157.088122605364,820
82,29227.32924467599,22886.436951367796,18710.526018753935,18672.997859247782,17399.52243172602,18004.340333993136,18484.0823540213,4317.364373725733,12120.998651548061,13097.243771701458,13151.691916666934,11906.995039162248,11769.863578275708,12826.980974349628,163.23907455012852,830
83,28989.600725308097,22581.85084393137,18581.403865830955,18495.120017964404,17314.583425316792,17840.133903089954,18356.245878547656,4273.9525517918155,11999.530351643027,12994.587875217661,12986.410670187926,11881.452657029022,11653.22457973172,12708.302364073577,158.7708066581306,840
84,28835.741947381364,22443.1253270539,18473.058498208447,18341.718631897205,17281.186224489797,17721.435541429688,18099.697437114384,4237.983351235231,11950.097306964022,12864.611857401189,12959.162972305026,11744.108896330152,11577.946545590714,12666.806667989189,159.43877551020407,850
85,28936.9633700476,22495.140765689295,18489.817243245492,18258.65903708389,17158.94934284218,17596.83538601221,18234.16893809934,4226.829501653864,11830.516086885513,12853.396893394638,12889.303646358003,11729.734348298896,11532.150996318587,12588.581354950782,160.5095541401274,860
86,29082.263439727038,22488.77908760839,18323.575616771766,18207.326368124202,17200.552413347574,17695.156257354633,18172.452508702743,4209.275272297324,11887.061671439695,12779.254074771985,12762.803149407433,11695.271556881182,11456.26372477256,12497.971752037467,159.03307888040712,870
87,28981.342258448884,22431.388320171587,18369.362318004743,18274.68084079975,17117.708700821866,17587.130465350354,18058.192531412886,4209.834260570573,11785.362351255595,12762.186615075678,12824.068220916006,11553.126899923342,11401.93914904625,12461.74049811413,164.765525982256,880
88,28945.626146833365,22240.852381266057,18099.97105589696,18053.436113323474,16876.38511554077,17413.360517277728,17841.964251851612,4110.154655741388,11699.648234535593,12658.322903629536,12648.857277226887,11481.268432192508,11254.133456294052,12344.550343511337,160.20025031289111,890
89,28898.50412497079,22360.686897817395,17971.12324509585,17958.094150341443,16747.41458660458,17342.863677345835,17777.19742981081,4117.704441677044,11560.726719945225,12769.371108343712,12624.102159688457,11331.145301892098,11213.990369261966,12190.163070518653,165.6288916562889,900
90,28740.20430392417,22254.734773860375,17977.402209868484,17845.3157939118,16703.42228252676,17147.99940973101,17740.688377274022,4088.9712023822494,11545.341474445951,12588.611250861795,12549.332605266352,11304.813205722196,11082.444126804729,12125.50190225344,159.20398009950247,910
91,28616.347297475884,22207.22779355533,17964.618148312642,17780.99449064814,16812.478825522303,17153.310874828927,17693.963215861986,4053.0710116920136,11505.160357826477,12483.587169233386,12422.476613622282,11255.433615093636,11082.513245445365,12122.94779251301,160.24844720496893,920
92,28903.262531404882,22301.40019754932,18123.17202440185,17922.47960745243,16880.297288300513,17228.578706130804,17781.80498886157,4109.511196085851,11466.358616385047,12502.294027070928,12500.636589665231,11315.336483521585,11184.26605413642,12142.71225428691,165.6210790464241,930
93,28595.57087781732,22225.089381003203,17943.051075268817,17638.978310502283,16735.583503575075,17187.08869239014,17662.601203501094,4078.9616402116408,11380.628172588831,12358.052615193026,12412.983128834356,11181.483188720173,11030.19144144144,12043.268430439954,161.25,940
94,28353.679202771684,22133.643042350905,17796.842656356974,17607.896273003455,16665.6051117366,17103.797292011594,17593.4531452333,4049.9520794360797,11315.522896759278,12301.633219669442,12230.123409308047,11125.433598880878,10931.066200994539,11915.901923543439,162.29712858926342,950
95,28468.73791851732,21897.414831565155,17745.70421422277,17632.53111513454,16582.299327822577,16975.904256452886,17578.235089133064,4013.0193483624976,11285.85262731496,12090.08379671938,12204.231484780114,11068.677981769713,10864.936873063976,11907.791172955185,160.84788029925187,960
96,28470.230649116278,21940.990192603094,17589.71167476509,17595.04512515632,16535.72067362799,16894.801237787942,17407.034388059055,4007.6268157065965,11184.71313632604,12081.885856079403,12153.3014585729,10977.240128530106,10892.1566994743,11833.869797275154,163.77171215880892,970
97,28287.879231237417,21979.085430698335,17686.17469727313,17493.793703085787,16561.10138428789,16951.366880591722,17533.0658014726,3975.7875743049894,11133.457506984767,12055.016915776914,12081.970380298613,10946.142080944639,10849.681202639398,11732.698876076485,163.77171215880892,980
98,28250.76070419474,21697.48041807115,17420.718816067652,17343.93575972468,16343.209302325582,16610.69573238821,17193.3590349459,3908.123999139559,10993.92572023603,11987.270802940588,11982.817003889963,10835.095137420718,10631.06895144839,11603.068587216008,162.7906976744186,990
99,28235.59922588724,21796.622398161155,17434.521971801994,17105.1540364902,16352.813510687449,16604.435864107858,17139.528073509122,3920.756800160594,10959.435332566725,11982.605117462217,11997.23635725566,10674.313222079589,10565.125153439718,11512.040218554612,164.63414634146343,1000
100,28269.22219713679,21884.982651334845,17674.11670112264,17381.457448767236,16456.50547124955,16804.53677104187,17452.353886768433,3990.462637683632,11083.75404229579,11887.732107171709,12062.985586534664,10866.308282528507,10700.846162162607,11623.51775239983,161.52897657213316,1010
101,28303.849352329362,21956.886092895318,17524.904651736204,17290.757417025165,16432.534164945177,16701.4687100894,17269.280137055757,3959.2668549168334,11041.291012175852,11831.28078817734,12026.705007413077,10838.017346638037,10674.67821388845,11583.743842364533,166.25615763546796,1020
102,28209.82655962391,21866.85704436662,17358.974963551555,17238.251850242174,16349.557604337373,16650.01599276035,17269.013274548328,3921.8144482700054,11035.459674495989,11808.118081180812,11898.112988393807,10687.89290238318,10642.837228372284,11554.228059763116,166.05166051660515,1030
103,27819.440298238405,21699.468388300615,17239.121556762777,16995.594083602715,16202.638792287182,16495.79785880649,17175.411115618444,3914.23856842367,10869.994237525481,11615.127881203996,11835.942158950791,10701.963914972546,10534.858514515316,11406.401477928197,167.69420468557337,1040
