,G1,SP2_1,SP2_2,SP2_3,R1,SP1_1,SP1_2,SP1_3,NC,Time
54,28290.348298519406,21705.167416385913,20610.15016013052,19936.08828525986,6296.598885035567,15262.37098998293,12674.571733866842,14426.870391785838,159.5866819747417,550
55,28639.91333088505,21568.908385093167,20518.568800450535,20002.151611100762,6246.597135512302,15135.649162431771,12670.519768054824,14446.679731820528,163.42857142857144,560
56,28924.03835046783,21589.4000736106,20376.128955789973,20085.714285714286,6255.0576184379,15245.036435312388,12684.959484959485,14458.373205741627,163.63636363636363,570
57,29121.808239029415,21544.721700730424,20484.005235987115,20003.905232631296,6238.991321330344,15155.335214908719,12606.775798757679,14425.834562798565,165.34541336353342,580
58,28860.81860948526,21294.32446007032,20035.458802221176,19753.484589281208,6250.946518215217,14974.145930589462,12352.234521539098,14111.769746265603,160.22099447513813,590
59,29095.955342489422,21125.967806190496,19984.142918404745,19723.713082753668,6195.725756984331,14948.391162178119,12268.841949962598,13994.80515859538,166.29955947136563,600
60,29134.50546534643,21047.31425320288,19935.24827000804,19597.01977935714,6148.1257760327535,14874.891502798479,12313.152668332372,14011.328569629977,165.00553709856038,610
61,29289.975832776763,20968.7001077816,19781.11045910526,19484.597442625683,6160.06914073889,14754.6679248598,12173.569007866183,13957.942686427155,164.45916114790288,620
62,29278.292721770984,20768.73126873127,19616.41449003258,19405.18604202815,6127.35532973927,14688.115588115588,12152.852521310466,13859.252242010862,163.73626373626374,630
63,29166.85884880268,20745.087039303686,19720.238095238095,19334.90365078325,6096.776315789474,14625.335232986925,12170.021089308639,13798.954887218046,164.4736842105263,640
64,29205.602511790577,20933.216544425697,19843.330828741582,19390.20152402893,6100.415133737695,14788.606618519649,12262.995203043587,13931.214106153815,169.24778761061947,650
65,29285.226546115733,20861.928370736565,19736.82690740081,19391.34240963955,6090.138490598201,14683.305699801655,12245.079245563287,13845.339568363557,174.20066152149946,660
66,29361.262816673127,20911.090210433107,19717.850588051326,19466.0762970707,6084.709837443373,14790.905293060954,12239.632161830503,13964.670608937324,174.91749174917493,670
67,29346.692935401694,20784.493408911705,19780.746023412943,19344.030876742996,6053.471476936847,14699.363115515427,12234.661922606205,13906.516748617856,174.53347969264547,680
68,29220.136628460063,20821.835583364456,19669.571153827885,19267.684880937893,6036.82068340703,14602.069768337857,12152.25914592453,13849.671412924425,173.05585980284778,690
69,29034.453018030126,20706.981030172436,19603.004025177623,19226.201146037718,5969.489540697251,14594.400775336397,12083.87455743546,13788.743506155197,177.24288840262582,700
70,28729.020586120103,20442.688436301112,19241.025519885985,18985.167206040995,5937.829663602492,14303.236646976498,11899.22962091247,13517.823378333249,172.5997842502697,710
71,28687.9131625999,20323.20036847145,19036.9752201248,18726.079921204448,5897.226112574939,14234.96344240681,11809.561690561855,13452.988133764833,173.67853290183388,720
72,28445.347547974416,19974.75674297177,18787.428204160333,18604.953412277177,5885.301610963799,14087.21412149869,11659.408727413076,13171.10175882906,169.5095948827292,730
73,28321.131528046422,19894.65732657222,18846.050262470522,18564.189035342933,5822.189188490474,14084.061989789308,11665.16249707739,13193.08800668229,176.59574468085106,740
74,28557.44726895538,20145.19753818494,19120.73200299379,18904.302192009316,5822.200153597628,14208.170500354117,11903.560011888949,13476.394351057997,180.23887079261672,750
75,28780.103488277186,20249.9279179747,19111.49595931247,18881.52261976322,5799.407297158932,14193.564892046454,11925.776248979413,13336.649795131356,181.1279826464208,760
76,28813.49231754161,20263.683586668525,19178.78319373418,18801.295165953707,5798.741602155305,14260.528859431097,11853.486774304361,13362.255390751588,183.09859154929578,770
77,28649.727723257132,20078.980278980278,19097.267316017314,18920.208932783782,5755.630842587365,14219.440298902402,11816.017316017316,13387.76124537714,183.98268398268397,780
78,28650.53536061428,20196.43894817327,19057.05130279981,18850.934657808168,5734.509383029239,14174.015913723944,11757.866412668174,13296.983319953619,184.86486486486487,790
79,28546.553294867903,19931.41229464759,18951.22218993187,18630.50193050193,5690.165796048149,14033.449225924955,11736.084492835318,13259.684931913254,183.7837837837838,800
80,28148.57771737455,19581.320630858743,18451.89751299881,18374.64215129962,5620.628976910539,13770.994705832778,11565.709583281467,12898.697715838565,181.0436634717785,810
81,28075.053897503833,19360.472582015587,18563.087791927286,18232.991424247524,5553.480146052031,13655.080738442097,11437.0793138745,12860.891820399189,181.0436634717785,820
82,27919.549233404356,19452.411091018686,18278.700773558372,18017.38804954403,5572.066612801867,13580.948667186594,11344.650761700193,12698.57426966594,176.16033755274262,830
83,27796.578719943067,19276.191119720108,18273.330994630727,17998.836025025463,5532.100311610085,13575.392086617308,11384.040387700355,12628.286099142737,179.32489451476792,840
84,28176.409444613975,19632.63669356516,18706.266265452177,18267.270434975948,5498.411709429646,13702.200340697915,11554.63934135316,12881.981495001686,186.42241379310343,850
85,28230.848462358226,19458.83516950911,18492.973530126834,18219.132694166936,5465.495613320849,13668.22432310098,11526.017008387698,12829.820682191372,188.57758620689654,860
86,28188.638379919325,19530.34128133446,18527.132125329837,18212.441933757807,5441.006388824439,13703.871422738577,11557.319698600646,12839.717106807988,192.68030139935416,870
87,28116.490094989895,19527.17590041254,18453.916995574695,18212.492295613407,5444.449076951844,13682.394166332148,11496.232508073197,12805.166846071044,190.52744886975245,880
88,27711.349298735873,19280.027529112285,18235.378652137344,17921.080538036502,5372.358299682608,13403.7465759038,11327.677624602335,12510.290351514692,188.7592788971368,890
89,27729.21252476337,19196.985351231855,18067.26208987716,17877.73295410572,5323.172053606622,13323.231823221922,11308.794054344904,12514.280196817348,189.6186440677966,900
90,27581.706068418265,19116.473264847897,17962.81573378376,17679.481487201265,5276.297700178722,13246.384970961242,11145.119288386162,12423.412465023437,190.6779661016949,910
91,27357.171689989238,18952.850877192985,17839.897260273974,17637.5,5237.268518518518,13130.31140861467,11096.554910242872,12367.705047318612,187.5,920
92,27590.795790145836,18898.648891110697,17787.21564767579,17543.28868067835,5192.2087877370395,13081.755289602588,11173.06066016081,12307.060076343174,187.69883351007425,930
93,27479.645592779867,18737.484830939826,17716.5063934361,17511.183860117177,5194.51476071563,13063.454692685878,11115.798624885045,12272.027005268916,184.51749734888654,940
94,27567.950983449406,19002.055980286852,17917.33654412529,17637.393172371925,5156.624653021534,13084.140170606337,11208.77688141326,12384.756486631793,194.41460794844255,950
95,27540.847985835055,18814.97506341306,17865.286884588873,17642.343382919138,5151.207511867226,13145.515543390326,11171.542838860069,12380.346791839469,194.41460794844255,960
96,27424.179376515298,18835.437468268745,17766.101083829384,17497.828941833202,5115.352773773884,13101.187208472913,11203.009264000108,12323.47676056098,196.14147909967846,970
97,27590.200896844555,18803.64806866953,17795.648068669532,17551.661689554887,5110.635468440433,13073.323994595454,11188.833253854715,12341.214206235667,196.3519313304721,980
98,27553.872695014434,18788.866712686453,17807.337979162283,17640.805826799977,5092.735218609756,13074.500731846489,11183.077153408523,12281.423733724489,200.64377682403432,990
99,27588.94177046608,18802.852726672467,17686.599958939063,17410.215951682752,5061.913300801537,13044.159918326082,11066.515674073538,12258.701524126336,200.64377682403432,1000
100,27578.949244447813,18495.684388152917,17503.79933446468,17286.45286448156,5007.837238001396,12855.446984545888,10997.194326990837,12041.56544500326,192.3890063424947,1010
101,27310.550887021473,18487.541866899664,17399.854245542934,17156.015130625372,4985.807445626859,12734.676851400403,10945.78729167699,11930.444345956239,193.65079365079367,1020
